chassis,model,mul_id,year,BV,cost,level,techBase,techRating,type,subtype,omni,engine,engineRating,source,role,armorType,structureType,armor,armorPer,structure,heat,dissipation,dissipationEfficiency,moveType,walk,maxWalk,jump,maxJump,umu,c3,dpt,firepower,firepower (no oneshots),maxRange,components,quirks,cargo,dropshipCapacity,escapePods,lifeBoats,gravDecks,sailIntegrity,kfIntegrity
Cauldron-Born (Ebon Jaguar),A,490,3049,2429,18732312,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,TR:CI,Skirmisher,Ferro-Fibrous,Endo Steel,182,86,104,60,26,-34,Biped,5,5,0,0,0,None,35.7,94,94,25,"1xER Large Laser:RA, 1xFlamer:LA, 3xUltra AC/20 Ammo:LT, 1xMG Ammo:LT, 1xMachine Gun:LA, 1xER Medium Laser:LT, 1xUltra AC/20:RT, 2xER Medium Laser:LT, 1xCASE:LT, 1xER Large Laser:LA, 1xMedium Pulse Laser:RA, 1xMachine Gun:RA, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),B,491,3049,2535,18756031,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,TR:CI,Sniper,Ferro-Fibrous,Endo Steel,182,86,104,58,26,-32,Biped,5,5,0,0,0,None,28.7,64,64,23,"1xER PPC:LA, 1xMedium Pulse Laser:RT, 1xActive Probe:RT, 1xTAG:LT, 1xLarge Pulse Laser:LA, 1xMedium Pulse Laser:LT, 1xER PPC:RA, 1xLarge Pulse Laser:RA, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),C,492,3049,1831,18467281,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,TR:CI,Missile Boat,Ferro-Fibrous,Endo Steel,182,86,104,22,26,4,Biped,5,5,0,0,0,None,40.7,62,62,27,"1xCASE:RA, 1xUltra AC/2:RA, 2xSRM 6 Ammo:LT, 1xSRM 6:RA, 1xCASE:LT, 2xLRM 15 Ammo:LT, 2xLRM 15 Ammo:RT, 1xUltra AC/2:LA, 2xSRM 6 Ammo:RT, 1xCASE:RT, 1xUltra AC/2 Ammo:LA, 1xSRM 6:LA, 1xLRM 15:LT, 1xUltra AC/2 Ammo:RA, 1xCASE:LA, 1xLRM 15:RT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),D,493,3059,2228,18401281,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,TR:CI,Skirmisher,Ferro-Fibrous,Endo Steel,182,86,104,34,26,-8,Biped,5,5,0,0,0,None,40.1,64,64,25,"1xUltra AC/10:LA, 2xUltra AC/10 Ammo:RT, 1xUltra AC/10:RA, 2xUltra AC/10 Ammo:LT, 1xCASE:LT, 2xER Medium Laser:RT, 1xER Large Laser:LT, 1xCASE:RT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),E,494,3069,2391,18962281,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,RG16,Skirmisher,Ferro-Fibrous,Endo Steel,182,86,104,27,26,-1,Biped,5,5,0,0,0,None,36.4,49,49,24,"1xATM 12 ER Ammo:RT, 1xATM 12:RT, 1xATM 12 HE Ammo:RT, 1xHAG/20:LA, 1xATM 12 Ammo:RT, 1xER Medium Laser:LT, 3xHAG/20 Ammo:LT, 1xCASE:LA, 1xLarge Pulse Laser:RA, 1xCASE:RT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),F,8210,3104,2681,18580719,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,RG16,Sniper,Ferro-Fibrous,Endo Steel,182,86,104,38,36,-2,Biped,5,5,0,0,0,None,38.8,42,42,23,"1xER PPC:LA, 1xATM 6 ER Ammo:RT, 1xTargeting Computer:RT, 1xATM 6 HE Ammo:RT, 1xATM 6:RT, 1xCASE:LT, 1xER PPC:RA, 1xATM 6 Ammo:LT, 1xATM 6:LT, 1xCASE:RT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),G,8211,3125,2849,18756031,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,RG16,Skirmisher,Ferro-Fibrous,Endo Steel,182,86,104,26,26,0,Biped,5,5,0,0,0,None,45.5,56,56,24,"1xCASE:RA, 6xHAG/40 Ammo:LT, 1xTargeting Computer:RT, 1xCASE:LT, 1xCASE:LA, 1xHAG/40:LT/LA, 1xImp. Heavy Large Laser:RA, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),H,495,3062,2359,18421906,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,TR:CI,Skirmisher,Ferro-Fibrous,Endo Steel,182,86,104,50,32,-18,Biped,5,5,0,0,0,None,50.3,83,83,15,"3xUltra AC/20 Ammo:LT, 1xMedium Pulse Laser:LT, 1xUltra AC/20:RT, 2xHeavy Medium Laser:LA, 1xCASE:LT, 1xHeavy Large Laser:RA, 1xTargeting Computer:LT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),T,8209,3142,2219,19321156,Standard,Mixed,F/X-X-X-E,Mek,BattleMek Omni,1, XL,325,RG16,Sniper,Ferro-Fibrous,Endo Steel,182,86,104,34,26,-8,Biped,5,5,0,0,0,None,30.9,47,47,23,"1xStreak LRM 10 Ammo:LT, 2xThunderbolt 5:RT, 1xImp. Heavy Medium Laser:LT, 1xUltra AC/5 Ammo:LT, 1xER PPC:RA, 2xThunderbolt 5 Ammo:RT, 1xStreak LRM 10:LT, 1xCASE II:RT, 1xUltra AC/5:LA, 1xCASE II:LT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),U,497,3077,2593,18561125,Standard,Clan,F/X-X-E-D,Mek,BattleMek Omni,1, XL,325,TR:CI,Sniper,Ferro-Fibrous,Endo Steel,182,86,104,34,32,-2,Biped,5,5,0,0,5,None,46.1,60,60,20,"1xLRT 15 Ammo:RT, 1xER Small Laser:RA, 1xLRT 15:LT, 1xLarge Pulse Laser:LA, 1xLRT 15 Ammo:LT, 1xER Small Laser:LA, 1xLRT 15:RT, 1xCASE:LT, 1xLarge Pulse Laser:RA, 1xCASE:RT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cauldron-Born (Ebon Jaguar),X,498,3075,2435,19801719,Standard,Clan,F/X-X-F-E,Mek,BattleMek Omni,1, XL,325,RG16,Skirmisher,Ferro-Fibrous,Endo Steel,182,86,104,27,32,5,Biped,5,5,0,0,0,None,46,56,56,21,"1xER Small Pulse Laser:LT, 1xER Medium Pulse Laser:LT, 1xER Medium Pulse Laser:LA, 1xRotary AC/5:RA, 1xER Medium Pulse Laser:RT, 1xCASE II:RT, 1xAngel ECM Suite:RT, 3xRAC/5 Ammo:RT, 1xTargeting Computer:LT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Narrow/Low Profile,,,,,,,
Cave Lion,,6954,3122,3044,20578250,Advanced,Clan,F/X-X-F-E,Mek,BattleMek,0, XL,375,ED:DA,Skirmisher,Reflective,Endo Steel,192,83,114,48,34,-14,Biped,5,5,0,0,0,None,42.5,61,61,23,"1xMedium Pulse Laser:RT, 2xATM 3 Ammo:LT, 1xMedium Pulse Laser:LA, 1xER PPC:LT, 1xER PPC:RT, 1xMedium Pulse Laser:LT, 1xCASE:LT, 1xATM 3:CT, 1xAngel ECM Suite:RT, 1xMedium Pulse Laser:RA, 1xReflective Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Cazador,,7881,3145,921,5151780,Standard,Clan,F/X-X-X-D,Mek,BattleMek,0, Fusion,175,OTP:HC,Striker,Standard Armor,Endo Steel,96,81,58,6,10,4,Biped,5,5,0,0,0,None,16,16,16,18,"1xLB 10-X Cluster Ammo:RT, 1xLB 10-X AC:RA, 1xSmall Pulse Laser:LT, 1xLB 10-X Ammo:RT, 1xSupercharger:CT, 1xSmall Pulse Laser:RT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",,,,,,,,
Centurion,CN9-A,516,2801,945,3491500,Introductory,Inner Sphere,D/X-E-D-D,Mek,BattleMek,0, Fusion,200,TR:3039,Brawler,Standard Armor,Standard,136,80,83,13,10,-3,Biped,4,4,0,0,0,None,20.2,30,30,21,"2xLRM 10 Ammo:LT, 1xMedium Laser:CT, 1xAC/10:RA, 1xLRM 10:LT, 1xMedium Laser:CT, 2xAC/10 Ammo:RT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-AH,517,2874,945,3529750,Introductory,Inner Sphere,D/X-E-D-D,Mek,BattleMek,0, Fusion,200,TR:3039,Juggernaut,Standard Armor,Standard,136,80,83,11,10,-1,Biped,4,4,0,0,0,None,23.9,30,30,21,"2xAC/20 Ammo:RT, 2xLRM 10 Ammo:LT, 1xAC/20:RA, 1xLRM 10:LT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-AL,518,2915,1057,3395875,Introductory,Inner Sphere,D/X-E-D-D,Mek,BattleMek,0, Fusion,200,TR:3039,Brawler,Standard Armor,Standard,169,100,83,19,16,-3,Biped,4,4,0,0,0,None,23,31,31,21,"1xSmall Laser:RA, 1xLarge Laser:RA, 2xLRM 10 Ammo:LT, 1xMedium Laser:CT, 1xLRM 10:LT, 1xMedium Laser:CT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-Ar,519,3072,1226,3893500,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Fusion,200,TR:3085,Sniper,Standard Armor,Standard,136,80,83,31,20,-11,Biped,4,4,0,0,0,None,24.1,41,41,21,"1xMedium Pulse Laser:CT, 1xHeavy PPC:RA, 2xLRM 10 Ammo:LT, 1xLRM 10:LT, 1xLight PPC:RA, 1xMedium Laser:CT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-D,520,3049,1130,9676500,Standard,Inner Sphere,E/X-F-E-D,Mek,BattleMek,0, XL,300,TR:3050,Skirmisher,Standard Armor,Endo Steel,136,80,83,12,10,-2,Biped,6,6,0,0,0,None,21.9,30,30,21,"1xLB 10-X Cluster Ammo:RT, 1xLB 10-X AC:RA, 1xLB 10-X Ammo:RT, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xMedium Laser:CT, 1xLRM 10:LT, 1xMedium Laser:CT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-D3,521,3052,1324,10726500,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,300,TR:3050,Skirmisher,Standard Armor,Endo Steel,136,80,83,12,10,-2,Biped,6,7,0,0,0,None,21.9,30,30,21,"1xLB 10-X Cluster Ammo:RT, 2xTriple Strength Myomer:LA, 1xLB 10-X AC:RA, 1xLB 10-X Ammo:RT, 1xArtemis IV FCS:LT, 2xTriple Strength Myomer:RL, 2xLRM 10 Artemis Ammo:RT, 1xMedium Laser:CT, 2xTriple Strength Myomer:LL, 1xLRM 10:LT, 1xMedium Laser:CT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-D3D,5448,3060,1373,10603500,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,300,TR:3050,Skirmisher,Ferro-Fibrous,Endo Steel,143,85,83,10,10,0,Biped,6,6,0,0,0,None,19.3,23,23,25,"2xLight Gauss Ammo:RA, 1xLight Gauss Rifle:RA, 1xLRM 10 Ammo:LT, 1xLRM 10:LT, 1xMASC:LA, 1xER Medium Laser:RT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-D4D,5449,3066,1369,9736250,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,250,TR:3050,Skirmisher,Ferro-Fibrous,Endo Steel,143,85,83,11,10,-1,Biped,5,5,0,0,0,None,20.5,28,28,25,"1xLight Gauss Ammo:RA, 1xLRM 15:LT, 2xLRM 15 Artemis Ammo:LT, 1xLight Gauss Rifle:RA, 1xArtemis IV FCS:LT, 1xMASC:LA, 1xER Medium Laser:RT, 1xFerro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-D5,522,3062,1738,11010000,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,300,TR:3050,Skirmisher,Standard Armor,Endo Steel,152,90,83,16,20,4,Biped,6,6,0,0,0,C3 Slave,28.4,40,40,15,"1xC3 Slave:HD, 1xRotary AC/5:RA, 3xRAC/5 Ammo:RT, 1xTargeting Computer:LT, 1xMASC:LT, 1xCASE:RT, 2xER Medium Laser:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-D9,523,3071,1638,11683500,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,300,TR:3050,Skirmisher,Light Ferro-Fibrous,Endo Steel,152,90,83,24,20,-4,Biped,6,6,6,6,0,None,21.9,30,30,21,"1xPlasma Rifle:RA, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xLRM 10:LT, 2xPlasma Rifle Ammo:RT, 1xCASE:RT, 2xER Medium Laser:CT, 1xLight Ferro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-Da,524,3065,1035,9274500,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,300,TR:3050,Skirmisher,Standard Armor,Endo Steel,136,80,83,11,10,-1,Biped,6,6,0,0,0,None,20.7,25,25,21,"2xAC/5 Ammo:RT, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xMedium Laser:CT, 1xLRM 10:LT, 1xMedium Laser:CT, 1xAC/5:RA, 1xTargeting Computer:LT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-H,3922,3077,848,3774000,Advanced,Inner Sphere,E/X-X-X-F,Mek,BattleMek,0, Fusion,240,XTR:RetroTech,Brawler,Primitive,Standard,96,57,83,20,10,-10,Biped,4,4,0,0,0,None,9.1,65,15,18,"1xLB 10-X AC:RA, 1xLB 10-X Ammo:RA, 1xMedium Laser:CT, 1xLB 10-X Cluster Ammo:RA, 5xRocket Launcher 10:LT, 1xPrimitive Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-YLW2 'Yen Lo Wang',3923,3051,1435,7673500,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,200,TR:3050,Brawler,Standard Armor,Standard,136,80,83,13,10,-3,Biped,4,5,0,0,0,None,25.4,33,33,22,"1xMedium Pulse Laser:CT, 1xHatchet:LA, 1xTriple Strength Myomer:LT, 1xTriple Strength Myomer:LA, 2xMedium Pulse Laser:LA, 1xGauss Rifle:RA, 1xTriple Strength Myomer:RL, 2xGauss Ammo:RT, 1xTriple Strength Myomer:RA, 1xTriple Strength Myomer:LL, 1xTriple Strength Myomer:RT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-YLW3 'Yen Lo Wang',7404,3101,1815,8416000,Standard,Mixed,F/X-X-F*-E,Mek,BattleMek,0, XL,200,TP:CC,Brawler,Light Ferro-Fibrous,Standard,152,90,83,12,20,8,Biped,4,5,0,0,0,None,34.7,42,42,22,"2xLRM 20 Ammo:LT, 1xHatchet:LA, 1xTriple Strength Myomer:LT, 1xTriple Strength Myomer:RA, 1xER Medium Laser:CT, 1xTriple Strength Myomer:LA, 1xGauss Rifle:RA, 1xLRM 20:LT, 1xTriple Strength Myomer:RL, 2xGauss Ammo:RT, 1xTriple Strength Myomer:LL, 1xCASE II:LT, 1xTriple Strength Myomer:RT, 1xLight Ferro-Fibrous Armor:Armor, 1xStandard Structure:Structure, 1x XL Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN9-YLW 'Yen Lo Wang',525,3027,957,3454750,Introductory,Inner Sphere,D/X-F-D-D,Mek,BattleMek,0, Fusion,200,TR:3039,Juggernaut,Standard Armor,Standard,136,80,83,13,10,-3,Biped,4,4,0,0,0,None,23.1,30,30,9,"1xHatchet:LA, 3xAC/20 Ammo:RT, 1xMedium Laser:CT, 1xAC/20:RA, 1xMedium Laser:CT, 1xStandard Armor:Armor, 1xStandard Structure:Structure, 1x Fusion Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN10-B,3921,3057,1243,5178653,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Fusion,220,TR:3050,Brawler,Standard Armor,Endo Steel,184,99,91,13,10,-3,Biped,4,4,0,0,0,None,21,31,31,21,"1xMedium Pulse Laser:CT, 1xLB 10-X Cluster Ammo:RT, 1xLB 10-X AC:RA, 1xLB 10-X Ammo:RT, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xLRM 10:LT, 1xMedium Laser:CT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine","Improved Targeting (Short), Non-Standard Parts",,,,,,,
Centurion,CN10-D,7725,3121,1260,9640070,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek,0, Light,220,RG10,Sniper,Light Ferro-Fibrous,Endo Steel,185,100,91,16,20,4,Biped,4,4,0,0,0,None,26.3,30,30,21,"1xLB 10-X Cluster Ammo:RT, 1xLB 10-X AC:RA, 1xLB 10-X Ammo:RT, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xER Medium Laser:CT, 1xLight PPC:CT, 1xLRM 10:LT, 1xCASE II:RT, 1xLight Ferro-Fibrous Armor:Armor, 1xEndo Steel Structure:Structure, 1x Light Engine:Engine",,,,,,,,
Centurion,CN10-J,7696,3057,1257,5420453,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Fusion,220,Shrap02,Brawler,Standard Armor,Endo Steel,152,82,91,13,10,-3,Biped,4,4,4,4,0,None,21,31,31,21,"1xMedium Pulse Laser:CT, 1xLB 10-X Cluster Ammo:RT, 1xLB 10-X AC:RA, 1xLB 10-X Ammo:RT, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xLRM 10:LT, 1xMedium Laser:CT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",,,,,,,,
Centurion,CN10-W,7695,3057,1112,9062953,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, XL,220,Shrap02,Sniper,Standard Armor,Endo Steel,152,82,91,16,13,-3,Biped,4,4,0,0,0,None,21.4,30,30,21,"1xLB 10-X Cluster Ammo:RT, 1xLB 10-X AC:RA, 1xLB 10-X Ammo:RT, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xLRM 10:LT, 1xPPC:LT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Centurion,CN11-O,6340,3111,1236,13044063,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek Omni,1, XL,250,TR:3145:FS,Brawler,Standard Armor,Endo Steel,152,90,83,16,20,4,Biped,5,5,0,0,0,None,26.3,30,30,21,"1xLB 10-X Cluster Ammo:RT, 1xLB 10-X AC:RA, 1xLB 10-X Ammo:RT, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xER Medium Laser:CT, 1xLRM 10:LT, 1xCASE II:RT, 1xER Medium Laser:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Easy to Pilot,,,,,,,
Centurion,CN11-OA,6341,3111,1398,12702813,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek Omni,1, XL,250,TR:3145:FS,Brawler,Standard Armor,Endo Steel,152,90,83,16,20,4,Biped,5,5,0,0,0,None,31.8,53,53,15,"1xMML 9/LRM Artemis Ammo:RT, 1xArtemis IV FCS:LT, 1xMML 9/SRM Artemis Ammo:RT, 1xRotary AC/5:RA, 1xMML 9:LT, 1xCASE II:RT, 3xRAC/5 Ammo:RT, 1xER Medium Laser:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Easy to Pilot,,,,,,,
Centurion,CN11-OB,6342,3111,1430,12843438,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek Omni,1, XL,250,TR:3145:FS,Sniper,Standard Armor,Endo Steel,152,90,83,19,22,3,Biped,5,5,0,0,0,None,25.5,29,29,18,"1xMML 7/LRM Artemis Ammo:RT, 1xMML 7:LT, 1xMML 7/SRM Artemis Ammo:RT, 1xHeavy PPC:RA, 1xTargeting Computer:CT, 1xArtemis IV FCS:LT, 1xECM Suite (Guardian):RT, 1xCASE II:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Easy to Pilot,,,,,,,
Centurion,CN11-OC,6343,3111,1628,14146563,Standard,Inner Sphere,E/X-X-F-D,Mek,BattleMek Omni,1, XL,250,TR:3145:FS,Skirmisher,Standard Armor,Endo Steel,152,90,83,24,20,-4,Biped,5,5,5,5,0,C3 Slave,21.9,30,30,21,"1xPlasma Rifle:RA, 1xArtemis IV FCS:LT, 2xLRM 10 Artemis Ammo:RT, 1xECM Suite (Guardian):RT, 1xER Medium Laser:CT, 1xC3 Slave:CT, 2xPlasma Rifle Ammo:RA, 1xLRM 10:LT, 1xCASE II:RT, 1xER Medium Laser:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Easy to Pilot,,,,,,,
Centurion,CN11-OD,6344,3111,1177,13202969,Advanced,Inner Sphere,E/X-X-F-E,Mek,BattleMek Omni,1, XL,250,TR:3145:FS,Brawler,Standard Armor,Endo Steel,152,90,83,17,20,3,Biped,4,4,3,3,0,None,23.9,31,31,12,"1xMML 9:RT, 1xShield (Medium):LA, 1xMML 9/LRM Artemis Ammo:LT, 1xMML 9/SRM Artemis Ammo:LT, 1xActive Probe (Beagle):CT, 1xHatchet:RA, 1xCASE II:LT, 1xArtemis IV FCS:RT, 1xER Small Laser:LT, 2xER Medium Laser:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Easy to Pilot,,,,,,,
Centurion,CN11-OE,6345,3111,1515,14287188,Advanced,Inner Sphere,F/X-X-F-E,Mek,BattleMek Omni,1, XL,250,TR:3145:FS,Sniper,Standard Armor,Endo Steel,152,90,83,11,20,9,Biped,5,5,0,0,0,C3 Boosted Slave,25,25,25,22,"1xC3 Boosted Slave:CT, 1xGauss Rifle:RA, 2xGauss Ammo:RT, 1xAngel ECM Suite:LT, 2xER Medium Laser:CT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",Easy to Pilot,,,,,,,
Cephalus,Prime,3930,3072,1038,21571615,Experimental,Mixed,F/X-X-X-X,Mek,BattleMek Omni,1, XXL,250,WoR,Scout,Ferro-Lamellor,Endo Steel,84,94,43,28,20,-8,Biped,9,10,0,0,0,Nova CEWS,4.3,6,6,9,"1xLaser AMS:RT, 1xModular Armor:CT, 1xNova CEWS:HD, 1xChameleon LPS:*, 1xLight TAG:LT, 1xModular Armor:LT, 1xLaser AMS:LT, 1xNull Signature System:*, 1xModular Armor:RT, 1xFerro-Lamellor Armor:Armor, 1xEndo Steel Structure:Structure, 1x XXL Engine:Engine","Improved Life Support, Bad Reputation (Clan), Difficult to Maintain, No/Minimal Arms",,,,,,,
Cephalus,A,3929,3072,809,21149740,Experimental,Mixed,F/X-X-X-X,Mek,BattleMek Omni,1, XXL,250,WoR,Scout,Ferro-Lamellor,Endo Steel,84,94,43,23,20,-3,Biped,10,10,7,7,0,Nova CEWS,2.6,3,3,15,"1xLaser AMS:RT, 1xTAG:LT, 1xNova CEWS:HD, 1xChameleon LPS:*, 1xNull Signature System:*, 1xFerro-Lamellor Armor:Armor, 1xEndo Steel Structure:Structure, 1x XXL Engine:Engine","Improved Life Support, Bad Reputation (Clan), Difficult to Maintain, No/Minimal Arms",,,,,,,
Cephalus,B,5638,3072,785,20793490,Experimental,Mixed,F/X-X-X-X,Mek,BattleMek Omni,1, XXL,250,WoR,Scout,Ferro-Lamellor,Endo Steel,84,94,43,24,20,-4,Biped,10,10,0,0,0,Nova CEWS,0.8,1,1,9,"1xLight TAG:RT, 1xNova CEWS:HD, 1xChameleon LPS:*, 1xBattleMech Taser:LT, 1xTaser Ammo:LT, 1xCASE:LT, 1xNull Signature System:*, 1xFerro-Lamellor Armor:Armor, 1xEndo Steel Structure:Structure, 1x XXL Engine:Engine","Improved Life Support, Bad Reputation (Clan), Difficult to Maintain, No/Minimal Arms",,,,,,,
Cephalus,C,5639,3072,1209,20942708,Experimental,Mixed,F/X-X-X-X,Mek,BattleMek Omni,1, XXL,250,WoR,Scout,Ferro-Lamellor,Endo Steel,84,94,43,28,20,-8,Biped,10,10,0,0,0,Nova CEWS,1.4,2,2,18,"1xNova CEWS:HD, 1xChameleon LPS:*, 1xFlamer:RT, 1xNull Signature System:*, 1xPlasma Cannon:LT, 2xPlasma Cannon Ammo:LT, 1xFerro-Lamellor Armor:Armor, 1xEndo Steel Structure:Structure, 1x XXL Engine:Engine","Improved Life Support, Bad Reputation (Clan), Difficult to Maintain, No/Minimal Arms",,,,,,,
